titolo,autore,prezzo,categoria,link_acquisto
The Kingdom of Cain: Finding God in the Literature of Darkness,Autore non disponibile,$20.99,filosofia,https://www.amazon.com/Kingdom-Cain-Finding-Literature-Darkness/dp/0310368340/ref=zg_bsnr_g_11019_d_sccl_1/138-2936054-8835703?psc=1
Mahavakya: The Essence of Vedanta,Autore non disponibile,$3.99,filosofia,https://www.amazon.com/Mahavakya-Essence-Vedanta-Swami-Sarvapriyananda-ebook/dp/B0F4DRHN8P/ref=zg_bsnr_g_11019_d_sccl_2/138-2936054-8835703?psc=1
What Happened to Catholicism: The Heresy Behind the Current Crisis,Autore non disponibile,$17.62,filosofia,https://www.amazon.com/What-Happened-Catholicism-Heresy-Current/dp/B0CZCVV3ML/ref=zg_bsnr_g_11019_d_sccl_3/138-2936054-8835703?psc=1
"The Complete Friedrich Nietzsche Philosophy Collection: Thus Spoke Zarathustra, Beyond Good and Evil, The Antichrist, Ecce Ho",Autore non disponibile,$26.21,filosofia,https://www.amazon.com/Complete-Friedrich-Nietzsche-Philosophy-Collection/dp/B0F2NDR6QB/ref=zg_bsnr_g_11019_d_sccl_4/138-2936054-8835703?isALC=true
Believe: Why Everyone Should Be Religious,Autore non disponibile,$19.68,filosofia,https://www.amazon.com/Believe-Why-Everyone-Should-Religious/dp/B0D92Z1KXJ/ref=zg_bsnr_g_11019_d_sccl_5/138-2936054-8835703?isALC=true
The Ideological Brain: The Radical Science of Flexible Thinking,Autore non disponibile,$20.67,filosofia,https://www.amazon.com/Ideological-Brain-Radical-Flexible-Thinking/dp/125034459X/ref=zg_bsnr_g_11019_d_sccl_6/138-2936054-8835703?psc=1
"Heavily Meditated: The Fast Path to Remove Your Triggers, Dissolve Stress, and Activate Inner Peace",Autore non disponibile,$28.80,filosofia,https://www.amazon.com/Heavily-Meditated-Triggers-Dissolve-Activate/dp/0063204762/ref=zg_bsnr_g_11019_d_sccl_7/138-2936054-8835703?psc=1
Against the Machine: On the Unmaking of Humanity,Autore non disponibile,$29.76,filosofia,https://www.amazon.com/Against-Machine-Unmaking-Paul-Kingsnorth/dp/0593850637/ref=zg_bsnr_g_11019_d_sccl_8/138-2936054-8835703?psc=1
The Kingdom of Cain: Finding God in the Literature of Darkness,Autore non disponibile,$16.53,filosofia,https://www.amazon.com/Kingdom-Cain-Finding-Literature-Darkness/dp/B0D92YDN6C/ref=zg_bsnr_g_11019_d_sccl_9/138-2936054-8835703?isALC=true
"The Complete Philosophy Collection: Meditations by Marcus Aurelius, The Art of War by Sun Tzu, Beyond Good and Evil by Friedr",Autore non disponibile,$26.21,filosofia,https://www.amazon.com/Complete-Philosophy-Collection-Meditations-Self-Reliance/dp/B0F2GLD3LW/ref=zg_bsnr_g_11019_d_sccl_10/138-2936054-8835703?isALC=true
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Autore non disponibile,$13.78,filosofia,https://www.amazon.com/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/B0DPR7VX73/ref=zg_bsnr_g_11019_d_sccl_11/138-2936054-8835703?isALC=true
Wisdom Takes Work: Learn. Apply. Repeat. (The Stoic Virtues Series),Autore non disponibile,$29.00,filosofia,https://www.amazon.com/Wisdom-Takes-Work-Repeat-Virtues/dp/0593191730/ref=zg_bsnr_g_11019_d_sccl_12/138-2936054-8835703?psc=1
The Persistence of the Ideological Lie: The Totalitarian Impulse Then and Now,Autore non disponibile,$20.38,filosofia,https://www.amazon.com/Persistence-Ideological-Lie-Daniel-Mahoney/dp/1641773731/ref=zg_bsnr_g_11019_d_sccl_13/138-2936054-8835703?psc=1
The Ideological Brain: The Radical Science of Flexible Thinking,Autore non disponibile,$17.71,filosofia,https://www.amazon.com/Ideological-Brain-Radical-Flexible-Thinking/dp/B0DCQ7PJXW/ref=zg_bsnr_g_11019_d_sccl_14/138-2936054-8835703?isALC=true
The Ideological Brain: The Radical Science of Flexible Thinking,Autore non disponibile,$14.99,filosofia,https://www.amazon.com/Ideological-Brain-Radical-Flexible-Thinking-ebook/dp/B0CW1HS623/ref=zg_bsnr_g_11019_d_sccl_15/138-2936054-8835703?psc=1
What's Left: Three Paths Through the Planetary Crisis,Autore non disponibile,$19.10,filosofia,https://www.amazon.com/Whats-Left-Through-Planetary-Crisis/dp/B0DD8S4RLF/ref=zg_bsnr_g_11019_d_sccl_16/138-2936054-8835703?isALC=true
What's Left: Three Paths Through the Planetary Crisis,Autore non disponibile,$27.90,filosofia,https://www.amazon.com/Whats-Left-Through-Planetary-Crisis/dp/0316577413/ref=zg_bsnr_g_11019_d_sccl_17/138-2936054-8835703?psc=1
Wisdom Takes Work: Learn. Apply. Repeat. (The Stoic Virtues Series),Autore non disponibile,$15.99,filosofia,https://www.amazon.com/Wisdom-Takes-Work-Repeat-Virtues-ebook/dp/B0F2M5DNBW/ref=zg_bsnr_g_11019_d_sccl_18/138-2936054-8835703?psc=1
Zero World Problems: New Standards of Living for the Post-Materialist Economy,Autore non disponibile,$17.46,filosofia,https://www.amazon.com/Zero-World-Problems-Standards-Post-Materialist/dp/B0F2JJBHYZ/ref=zg_bsnr_g_11019_d_sccl_19/138-2936054-8835703?isALC=true
What to Expect When You're Dead: An Ancient Tour of Death and the Afterlife,Autore non disponibile,$29.95,filosofia,https://www.amazon.com/What-Expect-When-Youre-Dead/dp/0691266174/ref=zg_bsnr_g_11019_d_sccl_20/138-2936054-8835703?psc=1
"Buddha's Brain: The Practical Neuroscience of Happiness, Love & Wisdom",Autore non disponibile,$22.04,filosofia,https://www.amazon.com/Buddhas-Brain-Practical-Neuroscience-Happiness/dp/B0DWB3DC6H/ref=zg_bsnr_g_11019_d_sccl_21/138-2936054-8835703?isALC=true
Open Socrates: The Case for a Philosophical Life,Autore non disponibile,$18.80,filosofia,https://www.amazon.com/Open-Socrates-Case-Philosophical-Life/dp/B0D84KKFQT/ref=zg_bsnr_g_11019_d_sccl_22/138-2936054-8835703?isALC=true
Unequal Exchange and the Prospects of Socialism,Autore non disponibile,$20.00,filosofia,https://www.amazon.com/Unequal-Exchange-Prospects-Socialism-Communist/dp/B0F4TZ69DX/ref=zg_bsnr_g_11019_d_sccl_23/138-2936054-8835703?psc=1
When Did the United States Begin?: The Impact of the United States on Society,Autore non disponibile,$6.08,filosofia,https://www.amazon.com/When-Did-United-States-Begin/dp/B0DXRCZBT6/ref=zg_bsnr_g_11019_d_sccl_24/138-2936054-8835703?isALC=true
Being and Nothingness,Autore non disponibile,$26.24,filosofia,https://www.amazon.com/Audible-Being-and-Nothingness/dp/B0D68746NG/ref=zg_bsnr_g_11019_d_sccl_25/138-2936054-8835703?isALC=true
Proof: The Art and Science of Certainty,Autore non disponibile,$28.80,filosofia,https://www.amazon.com/Proof-Science-Certainty-Adam-Kucharski/dp/1541606698/ref=zg_bsnr_g_11019_d_sccl_26/138-2936054-8835703?psc=1
A Trackless Path: A Commentary on the Great Completion (Dzogchen) Teaching O Jigmé Lingpa's Revelations of Ever-Present Good,Autore non disponibile,$13.08,filosofia,https://www.amazon.com/Trackless-Path-Commentary-Revelations-Ever-Present/dp/B0F2VW82WL/ref=zg_bsnr_g_11019_d_sccl_27/138-2936054-8835703?isALC=true
The Origins of Totalitarianism,Autore non disponibile,$3.99,filosofia,https://www.amazon.com/Origins-Totalitarianism-Hannah-Arendt-ebook/dp/B0F4NKYPCL/ref=zg_bsnr_g_11019_d_sccl_28/138-2936054-8835703?psc=1
"Heavily Meditated: The Fast Path to Remove Your Triggers, Dissolve Stress, and Activate Inner Peace",Autore non disponibile,$14.99,filosofia,https://www.amazon.com/Heavily-Meditated-Triggers-Dissolve-Activate-ebook/dp/B0DDPGCC74/ref=zg_bsnr_g_11019_d_sccl_29/138-2936054-8835703?psc=1
IDEOLOGÍAS: Manual contrarrevolucionario (Spanish Edition),Autore non disponibile,$22.99,filosofia,https://www.amazon.com/IDEOLOG%C3%8DAS-contrarrevolucionario-Javier-Olivera-Ravasi/dp/6319023376/ref=zg_bsnr_g_11019_d_sccl_30/138-2936054-8835703?psc=1
"The Next Conversation: Argue Less, Talk More",Autore non disponibile,$17.33,psicologia,https://www.amazon.com/Next-Conversation-Argue-Less-Talk/dp/B0DGQW15QF/ref=zg_bsnr_g_11119_d_sccl_1/141-0043924-5108801?isALC=true
"The Next Conversation: Argue Less, Talk More",Autore non disponibile,$18.89,psicologia,https://www.amazon.com/Next-Conversation-Argue-Less-Talk/dp/0593718720/ref=zg_bsnr_g_11119_d_sccl_2/141-0043924-5108801?psc=1
From Silence to Influence: Mastering the Art of Verbal Expression,Autore non disponibile,$13.08,psicologia,https://www.amazon.com/Silence-Influence-Mastering-Verbal-Expression/dp/B0DY2JYTWT/ref=zg_bsnr_g_11119_d_sccl_3/141-0043924-5108801?isALC=true
"The Next Conversation: Argue Less, Talk More",Autore non disponibile,$15.99,psicologia,https://www.amazon.com/Next-Conversation-Argue-Less-Talk-ebook/dp/B0D57KTPT1/ref=zg_bsnr_g_11119_d_sccl_4/141-0043924-5108801?psc=1
High Functioning: Overcome Your Hidden Depression and Reclaim Your Joy,Autore non disponibile,$17.05,psicologia,https://www.amazon.com/High-Functioning-Overcome-Depression-Reclaim/dp/B0D9HPQN6M/ref=zg_bsnr_g_11119_d_sccl_5/141-0043924-5108801?isALC=true
The Art of Words: How to Use Words as the Ultimate Weapon,Autore non disponibile,$17.46,psicologia,https://www.amazon.com/Art-Words-How-Ultimate-Weapon/dp/B0DZY6VK2F/ref=zg_bsnr_g_11119_d_sccl_6/141-0043924-5108801?isALC=true
Mind Your Body: A Revolutionary Program to Release Chronic Pain and Anxiety,Autore non disponibile,$15.75,psicologia,https://www.amazon.com/Mind-Your-Body-Revolutionary-Program/dp/B0D5YTZ5N5/ref=zg_bsnr_g_11119_d_sccl_7/141-0043924-5108801?isALC=true
Forgiving as Unity with Christ: A Journey for Healing Resentment and Relationships,Autore non disponibile,$18.95,psicologia,https://www.amazon.com/Forgiving-Unity-Christ-Resentment-Relationships/dp/1682784274/ref=zg_bsnr_g_11119_d_sccl_8/141-0043924-5108801?psc=1
"The Next Conversation: Argue Less, Talk More",Autore non disponibile,$22.71,psicologia,https://www.amazon.com/Next-Conversation-Argue-Less-Talk/dp/B0D862Z269/ref=zg_bsnr_g_11119_d_sccl_9/141-0043924-5108801?psc=1
Holy Hurt: Understanding Spiritual Trauma and the Process of Healing,Autore non disponibile,$12.24,psicologia,https://www.amazon.com/Holy-Hurt-Understanding-Spiritual-Process/dp/B0F19CGG8K/ref=zg_bsnr_g_11119_d_sccl_10/141-0043924-5108801?isALC=true
Punishment-Free Parenting: The Brain-Based Way to Raise Kids Without Raising Your Voice,Autore non disponibile,$13.78,psicologia,https://www.amazon.com/Punishment-Free-Parenting-Brain-Based-Without-Raising/dp/B0D47W9S6Q/ref=zg_bsnr_g_11119_d_sccl_11/141-0043924-5108801?isALC=true
How to Fall in Love with Questions: A New Way to Thrive in Times of Uncertainty,Autore non disponibile,$21.25,psicologia,https://www.amazon.com/How-Fall-Love-Questions-Uncertainty/dp/B0D9PKGN8L/ref=zg_bsnr_g_11119_d_sccl_12/141-0043924-5108801?isALC=true
Free to Fly: The Secret to Fostering Independence in the Next Generation,Autore non disponibile,$26.00,psicologia,https://www.amazon.com/Free-Fly-Fostering-Independence-Generation/dp/1637633777/ref=zg_bsnr_g_11119_d_sccl_13/141-0043924-5108801?psc=1
Demystifying Misophonia: A Holistic Approach to Finding Freedom,Autore non disponibile,$18.00,psicologia,https://www.amazon.com/Demystifying-Misophonia-Holistic-Approach-Finding/dp/1643435221/ref=zg_bsnr_g_11119_d_sccl_14/141-0043924-5108801?psc=1
How to Overcome Overthinking: Calm Your Mind and Find Peace Now,Autore non disponibile,$0.99,psicologia,https://www.amazon.com/How-Overcome-Overthinking-Calm-Peace-ebook/dp/B0F259NC7C/ref=zg_bsnr_g_11119_d_sccl_15/141-0043924-5108801?psc=1
"The Polyvagal Theory Workbook for Trauma: Body-Based Activities to Regulate, Rebalance, and Rewire Your Nervous System Withou",Autore non disponibile,$23.36,psicologia,https://www.amazon.com/Polyvagal-Theory-Workbook-Trauma-Body-Based/dp/1648484166/ref=zg_bsnr_g_11119_d_sccl_16/141-0043924-5108801?psc=1
"The Absent Father Effect on Daughters: Father Desire, Father Wounds",Autore non disponibile,$12.24,psicologia,https://www.amazon.com/Absent-Father-Effect-Daughters-Desire/dp/B0DZ8NBH1S/ref=zg_bsnr_g_11119_d_sccl_17/141-0043924-5108801?isALC=true
"The Instability of Truth: Brainwashing, Mind Control, and Hyper-Persuasion",Autore non disponibile,$18.90,psicologia,https://www.amazon.com/Instability-Truth-Brainwashing-Control-Hyper-Persuasion/dp/B0DS3YGHS6/ref=zg_bsnr_g_11119_d_sccl_18/141-0043924-5108801?isALC=true
"Validation: How the Skill Set That Revolutionized Psychology Will Transform Your Relationships, Increase Your Influence, and",Autore non disponibile,$15.75,psicologia,https://www.amazon.com/Validation-Revolutionized-Psychology-Transform-Relationships/dp/B0D5YW8PCR/ref=zg_bsnr_g_11119_d_sccl_19/141-0043924-5108801?isALC=true
With Love from a Children's Therapist: #lessonsihavelearnedalongtheway,Autore non disponibile,$18.04,psicologia,https://www.amazon.com/Love-Childrens-Therapist-lessonsihavelearnedalongtheway/dp/1964251516/ref=zg_bsnr_g_11119_d_sccl_20/141-0043924-5108801?psc=1
Body-First Healing: Get Unstuck and Recover from Trauma with Somatic Healing,Autore non disponibile,$18.86,psicologia,https://www.amazon.com/Body-First-Healing-Unstuck-Recover-Somatic/dp/0593718658/ref=zg_bsnr_g_11119_d_sccl_21/141-0043924-5108801?psc=1
"Holistically Treating Complex PTSD: A Six-Dimensional Approach: Guidance for Therapists, Coaches, and Other Helpers to Repair",Autore non disponibile,$15.30,psicologia,https://www.amazon.com/Holistically-Treating-Complex-PTSD-Six-Dimensional/dp/B0F2GKC4GM/ref=zg_bsnr_g_11119_d_sccl_22/141-0043924-5108801?isALC=true
The Evidence for Psychodynamic Psychotherapy: A Contemporary Introduction (Routledge Introductions to Contemporary Psychoanal,Autore non disponibile,$23.19,psicologia,https://www.amazon.com/Evidence-Psychodynamic-Psychotherapy-Introductions-Psychoanalysis/dp/1032346418/ref=zg_bsnr_g_11119_d_sccl_23/141-0043924-5108801?psc=1
Polywise: A Deeper Dive into Navigating Open Relationships,Autore non disponibile,$13.18,psicologia,https://www.amazon.com/Polywise-Deeper-Dive-Navigating-Relationships/dp/B0F3Y2BBZ1/ref=zg_bsnr_g_11119_d_sccl_24/141-0043924-5108801?isALC=true
"Buddha's Brain: The Practical Neuroscience of Happiness, Love & Wisdom",Autore non disponibile,$22.04,psicologia,https://www.amazon.com/Buddhas-Brain-Practical-Neuroscience-Happiness/dp/B0DWB3DC6H/ref=zg_bsnr_g_11119_d_sccl_25/141-0043924-5108801?isALC=true
Now It All Makes Sense: How An ADHD Diagnosis Brought Clarity to My Life,Autore non disponibile,$15.88,psicologia,https://www.amazon.com/Now-All-Makes-Sense-Diagnosis/dp/B0DDZ7VLQB/ref=zg_bsnr_g_11119_d_sccl_26/141-0043924-5108801?isALC=true
Cults Like Us: Why Doomsday Thinking Drives America,Autore non disponibile,$17.05,psicologia,https://www.amazon.com/Cults-Like-Us-Doomsday-Thinking/dp/B0DJDNX6XG/ref=zg_bsnr_g_11119_d_sccl_27/141-0043924-5108801?isALC=true
Spiritual Intelligence: Activating the 4 Circuits of the Awakened Brain,Autore non disponibile,$29.00,psicologia,https://www.amazon.com/Spiritual-Intelligence-Activating-Circuits-Awakened/dp/160415294X/ref=zg_bsnr_g_11119_d_sccl_28/141-0043924-5108801?psc=1
Let Them: A Guide to Embracing Authenticity and Inner Peace,Autore non disponibile,$6.08,psicologia,https://www.amazon.com/Let-Them-Guide-Embracing-Authenticity/dp/B0DYWG4DFG/ref=zg_bsnr_g_11119_d_sccl_29/141-0043924-5108801?isALC=true
"Me, but Better",Autore non disponibile,$13.12,psicologia,https://www.amazon.com/Audible-Me-But-Better/dp/B0D7WF67H4/ref=zg_bsnr_g_11119_d_sccl_30/141-0043924-5108801?isALC=true
Abundance,Autore non disponibile,$13.12,società,https://www.amazon.com/Audible-Abundance-What-Progress-Takes/dp/B0C7Y68VWT/ref=zg_bsnr_g_3377866011_d_sccl_1/144-8079262-1038557?isALC=true
Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,Autore non disponibile,$11.81,società,https://www.amazon.com/Everything-Tuberculosis-Persistence-Deadliest-Infection/dp/B0DK2G4D48/ref=zg_bsnr_g_3377866011_d_sccl_2/144-8079262-1038557?isALC=true
On Democracies and Death Cults: Israel and the Future of Civilization,Autore non disponibile,$22.04,società,https://www.amazon.com/Democracies-Death-Cults-Israel-Civilization/dp/B0DMTDRHMW/ref=zg_bsnr_g_3377866011_d_sccl_3/144-8079262-1038557?isALC=true
Tina: The Inspiring Tale of a World-changing Friendship Between One Man and a Dog,Autore non disponibile,$27.00,società,https://www.amazon.com/Tina-Inspiring-World-changing-Friendship-Between/dp/0008725713/ref=zg_bsnr_g_3377866011_d_sccl_4/144-8079262-1038557?psc=1
Abundance,Autore non disponibile,$21.00,società,https://www.amazon.com/Abundance-Progress-Takes-Ezra-Klein/dp/1668023482/ref=zg_bsnr_g_3377866011_d_sccl_5/144-8079262-1038557?psc=1
On Democracies and Death Cults: Israel and the Future of Civilization,Autore non disponibile,$22.30,società,https://www.amazon.com/Democracies-Death-Cults-Israel-Civilization/dp/0063437139/ref=zg_bsnr_g_3377866011_d_sccl_6/144-8079262-1038557?psc=1
Fight: Inside the Wildest Battle for the White House,Autore non disponibile,$22.88,società,https://www.amazon.com/Fight-Inside-Wildest-Battle-White/dp/006343864X/ref=zg_bsnr_g_3377866011_d_sccl_7/144-8079262-1038557?psc=1
Fight: Inside the Wildest Battle for the White House,Autore non disponibile,$22.04,società,https://www.amazon.com/Fight-Inside-Wildest-Battle-White/dp/B0DVJ3XHKT/ref=zg_bsnr_g_3377866011_d_sccl_8/144-8079262-1038557?isALC=true
Who Is Government?: The Untold Story of Public Service,Autore non disponibile,$21.92,società,https://www.amazon.com/Who-Government-Untold-Public-Service/dp/B0DHZ2ZXPM/ref=zg_bsnr_g_3377866011_d_sccl_9/144-8079262-1038557?psc=1
Who Is Government?: The Untold Story of Public Service,Autore non disponibile,$17.33,società,https://www.amazon.com/Who-Government-Untold-Public-Service/dp/B0DK62KD1Y/ref=zg_bsnr_g_3377866011_d_sccl_10/144-8079262-1038557?isALC=true
Fight: Inside the Wildest Battle for the White House,Autore non disponibile,$14.99,società,https://www.amazon.com/Fight-Inside-Wildest-Battle-White-ebook/dp/B0DB8P3PYJ/ref=zg_bsnr_g_3377866011_d_sccl_11/144-8079262-1038557?psc=1
The Echo Machine: How Right-Wing Extremism Created a Post-Truth America,Autore non disponibile,$19.33,società,https://www.amazon.com/Echo-Machine-Right-Wing-Extremism-Post-Truth/dp/0807016535/ref=zg_bsnr_g_3377866011_d_sccl_12/144-8079262-1038557?psc=1
"Uncharted: How Trump Beat Biden, Harris, and the Odds in the Wildest Campaign in History",Autore non disponibile,$23.28,società,https://www.amazon.com/Uncharted-Harris-Wildest-Campaign-History/dp/0063386216/ref=zg_bsnr_g_3377866011_d_sccl_13/144-8079262-1038557?psc=1
